,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income Cluster
0,Male,19,15,39,2,2
1,Male,21,15,81,2,3
2,Female,20,16,6,2,2
3,Female,23,16,77,2,3
4,Female,31,17,40,2,2
5,Female,22,17,76,2,3
6,Female,35,18,6,2,2
7,Female,23,18,94,2,3
8,Male,64,19,3,2,2
9,Female,30,19,72,2,3
10,Male,67,19,14,2,2
11,Female,35,19,99,2,3
12,Female,58,20,15,2,2
13,Female,24,20,77,2,3
14,Male,37,20,13,2,2
15,Male,22,20,79,2,3
16,Female,35,21,35,2,2
17,Male,20,21,66,2,3
18,Male,52,23,29,2,2
19,Female,35,23,98,2,3
20,Male,35,24,35,2,2
21,Male,25,24,73,2,3
22,Female,46,25,5,2,2
23,Male,31,25,73,2,3
24,Female,54,28,14,2,2
25,Male,29,28,82,2,3
26,Female,45,28,32,2,2
27,Male,35,28,61,2,3
28,Female,40,29,31,2,2
29,Female,23,29,87,2,3
30,Male,60,30,4,2,2
31,Female,21,30,73,2,3
32,Male,53,33,4,2,2
33,Male,18,33,92,2,3
34,Female,49,33,14,2,2
35,Female,21,33,81,2,3
36,Female,42,34,17,2,2
37,Female,30,34,73,2,3
38,Female,36,37,26,2,2
39,Female,20,37,75,2,3
40,Female,65,38,35,2,2
41,Male,24,38,92,2,3
42,Male,48,39,36,2,2
43,Female,31,39,61,2,0
44,Female,49,39,28,2,2
45,Female,24,39,65,2,3
46,Female,50,40,55,2,0
47,Female,27,40,47,2,0
48,Female,29,40,42,2,0
49,Female,31,40,42,2,0
50,Female,49,42,52,2,0
51,Male,33,42,60,2,0
52,Female,31,43,54,2,0
53,Male,59,43,60,2,0
54,Female,50,43,45,2,0
55,Male,47,43,41,2,0
56,Female,51,44,50,2,0
57,Male,69,44,46,2,0
58,Female,27,46,51,2,0
59,Male,53,46,46,2,0
60,Male,70,46,56,2,0
61,Male,19,46,55,2,0
62,Female,67,47,52,2,0
63,Female,54,47,59,2,0
64,Male,63,48,51,2,0
65,Male,18,48,59,2,0
66,Female,43,48,50,2,0
67,Female,68,48,48,2,0
68,Male,19,48,59,2,0
69,Female,32,48,47,2,0
70,Male,70,49,55,2,0
71,Female,47,49,42,2,0
72,Female,60,50,49,2,0
73,Female,60,50,56,2,0
74,Male,59,54,47,1,0
75,Male,26,54,54,1,0
76,Female,45,54,53,1,0
77,Male,40,54,48,1,0
78,Female,23,54,52,1,0
79,Female,49,54,42,1,0
80,Male,57,54,51,1,0
81,Male,38,54,55,1,0
82,Male,67,54,41,1,0
83,Female,46,54,44,1,0
84,Female,21,54,57,1,0
85,Male,48,54,46,1,0
86,Female,55,57,58,1,0
87,Female,22,57,55,1,0
88,Female,34,58,60,1,0
89,Female,50,58,46,1,0
90,Female,68,59,55,1,0
91,Male,18,59,41,1,0
92,Male,48,60,49,1,0
93,Female,40,60,40,1,0
94,Female,32,60,42,1,0
95,Male,24,60,52,1,0
96,Female,47,60,47,1,0
97,Female,27,60,50,1,0
98,Male,48,61,42,1,0
99,Male,20,61,49,1,0
100,Female,23,62,41,1,0
101,Female,49,62,48,1,0
102,Male,67,62,59,1,0
103,Male,26,62,55,1,0
104,Male,49,62,56,1,0
105,Female,21,62,42,1,0
106,Female,66,63,50,1,0
107,Male,54,63,46,1,0
108,Male,68,63,43,1,0
109,Male,66,63,48,1,0
110,Male,65,63,52,1,0
111,Female,19,63,54,1,0
112,Female,38,64,42,1,0
113,Male,19,64,46,1,0
114,Female,18,65,48,1,0
115,Female,19,65,50,1,0
116,Female,63,65,43,1,0
117,Female,49,65,59,1,0
118,Female,51,67,43,1,0
119,Female,50,67,57,1,0
120,Male,27,67,56,1,0
121,Female,38,67,40,1,0
122,Female,40,69,58,1,0
123,Male,39,69,91,1,1
124,Female,23,70,29,1,4
125,Female,31,70,77,1,1
126,Male,43,71,35,1,0
127,Male,40,71,95,1,1
128,Male,59,71,11,1,4
129,Male,38,71,75,1,1
130,Male,47,71,9,1,4
131,Male,39,71,75,1,1
132,Female,25,72,34,1,0
133,Female,31,72,71,1,1
134,Male,20,73,5,1,4
135,Female,29,73,88,1,1
136,Female,44,73,7,1,4
137,Male,32,73,73,1,1
138,Male,19,74,10,1,4
139,Female,35,74,72,1,1
140,Female,57,75,5,1,4
141,Male,32,75,93,1,1
